t,t0,treatment_period,yit,country,x_load,temp
17481,0,0,560507,portugal,809953,56.966
17481,0,0,524244,romania,1023274,47.746
17481,0,0,64179,slovakia,516915,40.448
17481,0,0,2304558,spain,4127385,49.565
17488,0,0,273951,austria,4633428,41.988
17488,0,0,526929,belgium,6045403,46.241
17488,0,0,199708,bosnia_herzegovina,226439,NA
17488,0,0,462663,bulgaria,691154,39.034
17488,0,0,758474,czech_republic,1175810,40.388
17488,0,0,168086,denmark,591431,40.615
17488,0,0,175266,estonia,153663,35.939
17488,0,0,241020,finland,1501342,36.652
17488,0,0,1405046,france,8863821,47.612
17488,0,0,3517575,germany,35601300,42.74
17488,0,0,301374.5,hungary,2976721,41.515
17488,0,0,2292790,italy,4890574,53.639
17488,0,0,13153,lithuania,209180,33.66
17488,0,0,7275.5,luxembourg,275826,42.553
17488,0,0,1158492.75,netherlands,7928404,48.359
17488,0,0,52056,norway,2689888,30.463
17488,0,0,2250345,poland,2975081,37.614
17488,0,0,533027,portugal,829448,59.021
17488,0,0,559234,romania,1059357,42.245
17488,0,0,68177,slovakia,525354,41.79
17488,0,0,2551966,spain,4268777,51.116
17495,0,0,325959.75,austria,4806554,36.861
17495,0,0,522600,belgium,6319540,37.7
17495,0,0,209994,bosnia_herzegovina,229329,NA
17495,0,0,448308,bulgaria,728461,33.475
17495,0,0,806015,czech_republic,1187333,36.854
17495,0,0,219139,denmark,605460,37.088
17495,0,0,146008,estonia,153072,35.455
17495,0,0,274201,finland,1481407,36.669
17495,0,0,1417197,france,9556265,39.102
17495,0,0,4336552.25,germany,36210706,37.663
17495,0,0,282866.75,hungary,3046391,36.62
17495,0,0,2164180,italy,5036049,50.376
17495,0,0,19151,lithuania,211023,34.762
17495,0,0,7401.5,luxembourg,292182,35.875
17495,0,0,1419747.75,netherlands,8152526,38.981
17495,0,0,49458,norway,2695010,30.851
17495,0,0,2383865,poland,3000489,36.081
17495,0,0,486438,portugal,841424,54.734
17495,0,0,546016,romania,1065059,39.899
17495,0,0,77501,slovakia,533652,36.478
17495,0,0,2591772,spain,4368038,42.869
17502,0,0,348295.5,austria,4898532,34.777
17502,0,0,583946,belgium,6283593,37.845
17502,0,0,187363,bosnia_herzegovina,236617,NA
17502,0,0,382690,bulgaria,718913,33.676
17502,0,0,775488,czech_republic,1254286,35.515
17502,0,0,175979,denmark,600572,40.499
17502,0,0,147481,estonia,156328,34.846
17502,0,0,298066,finland,1510225,33.861
17502,0,0,1543248,france,10499298,37.749
17502,0,0,3998689.75,germany,37110057,38.724
17502,0,0,271165.25,hungary,3079809,34.65
17502,0,0,2330209,italy,5185776,47.608
17502,0,0,13766,lithuania,204410,33.566
17502,0,0,7850,luxembourg,308781,33.714
17502,0,0,1364795.75,netherlands,8234492,41.127
17502,0,0,49111,norway,2668263,30.626
17502,0,0,2287134,poland,3020011,36.268
17502,0,0,584553,portugal,917167,48.642
17502,0,0,549970,romania,1077057,38.316
17502,0,0,61078,slovakia,543872,33.918
17502,0,0,2699667,spain,4491638,39.731
17509,0,0,248523.5,austria,4799041,39.557
17509,0,0,482258,belgium,6464879,36.701
17509,0,0,183753,bosnia_herzegovina,228518,NA
17509,0,0,395646,bulgaria,721650,35.394
17509,0,0,725370,czech_republic,1223824,36.524
17509,0,0,221922,denmark,620497,35.662
17509,0,0,122723,estonia,157410,33.293
17509,0,0,295729,finland,1523122,35.046
17509,0,0,1227273,france,10096186,40.234
17509,0,0,3479302,germany,37371846,36.019
17509,0,0,235233.75,hungary,3079327,39.251
17509,0,0,2003708,italy,5166713,52.108
17509,0,0,11026,lithuania,201747,32.186
17509,0,0,7374.5,luxembourg,287710,35.604
17509,0,0,1291964.25,netherlands,8531640,35.96
17509,0,0,48728,norway,2816564,24.874
17509,0,0,2221497,poland,3012595,36.156
17509,0,0,455134,portugal,907688,55.611
17509,0,0,562210,romania,1098558,41.834
17509,0,0,63283,slovakia,536075,40.011
17509,0,0,1929358,spain,4476914,44.529
17516,0,0,314391.25,austria,4802465,35.926
17516,0,0,492975,belgium,6332623,41.74
17516,0,0,181498,bosnia_herzegovina,225537,NA
17516,0,0,448464,bulgaria,755538,29.226
17516,0,0,845609,czech_republic,1208777,33.708
17516,0,0,244171,denmark,612392,37.074
17516,0,0,154082,estonia,157583,33.979
17516,0,0,322508,finland,1540394,33.717
17516,0,0,1362121,france,10149844,41.984
17516,0,0,4756888,germany,35668783,36.864
17516,0,0,241690.5,hungary,3017999,30.483
17516,0,0,2126553,italy,5212181,43.29
17516,0,0,12835,lithuania,209010,30.171
17516,0,0,7604,luxembourg,316938,38.267
17516,0,0,1514038.75,netherlands,8358285,41.873
17516,0,0,50950,norway,2818083,23.779
17516,0,0,2600184,poland,3074240,31.895
17516,0,0,520056,portugal,917468,50.774
17516,0,0,565431,romania,1121051,34.94
17516,0,0,68899,slovakia,537559,34.836
17516,0,0,2260523,spain,4522515,42.809
17523,0,0,95813.25,austria,3945075,39.576
17523,0,0,278828,belgium,5346023,41.906
17523,0,0,171379,bosnia_herzegovina,258716,NA
17523,0,0,377759,bulgaria,661189,37.174
17523,0,0,534444,czech_republic,932518,35.468
17523,0,0,119137,denmark,524170,42.044
17523,0,0,123740,estonia,138849,36.265
17523,0,0,268426,finland,1432704,34.721
17523,0,0,718114,france,8836065,42.163
17523,0,0,1941711,germany,29014771,40.989
17523,0,0,162200.5,hungary,2480318,40.365
17523,0,0,1436982,italy,3894454,48.36
17523,0,0,10885,lithuania,179905,36.315
17523,0,0,7112.5,luxembourg,207107,38.527
17523,0,0,977991.5,netherlands,7421376,43.03
17523,0,0,52364,norway,2545920,32.181
17523,0,0,1682364,poland,2452399,40.916
17523,0,0,316345,portugal,789936,55.073
17523,0,0,419878,romania,952766,40.896
17523,0,0,62256,slovakia,439470,39.564
17523,0,0,1095473,spain,3909156,45.012
17530,0,0,127797.5,austria,4226409,41.507
17530,0,0,267008,belgium,5485711,47.364
17530,0,0,163269,bosnia_herzegovina,224524,NA
17530,0,0,365957,bulgaria,685619,33.937
17530,0,0,572564,czech_republic,1059821,41.447
17530,0,0,174594,denmark,579552,38.555
17530,0,0,142729,estonia,142108,35.906
17530,0,0,261122,finland,1497087,36.393
17530,0,0,423620,france,8428413,49.593
17530,0,0,2528542.25,germany,32089567,42.895
17530,0,0,180100.5,hungary,2692358,38.18
17530,0,0,1366201,italy,4135946,49.657
17530,0,0,9281,lithuania,196049,35.28
17530,0,0,6995.25,luxembourg,210229,44.696
17530,0,0,879104,netherlands,7704026,46.279
17530,0,0,50612,norway,2696009,29.63
17530,0,0,1865710,poland,2664407,39.205
17530,0,0,204065,portugal,804796,56.484
17530,0,0,471452,romania,949109,38.096
17530,0,0,66785,slovakia,467775,39.874
17530,0,0,764114,spain,3855752,48.41
17537,0,0,257404.5,austria,4484712,41.398
17537,0,0,376395,belgium,6331167,40.372
17537,0,0,183376,bosnia_herzegovina,204766,NA
17537,0,0,388242,bulgaria,724449,39.021
17537,0,0,770990,czech_republic,1159651,40.254
17537,0,0,252437,denmark,615315,33.944
17537,0,0,182831,estonia,156764,30.23
17537,0,0,329150,finland,1612031,28.763
17537,0,0,866997,france,9247593,43.159
17537,0,0,4640972.5,germany,35453609,35.213
17537,0,0,224068.25,hungary,2947374,42.648
17537,0,0,1749254,italy,4676225,55.342
17537,0,0,9392,lithuania,214260,27.299
17537,0,0,7355.75,luxembourg,278549,40.783
17537,0,0,1231146.5,netherlands,8210269,39.027
17537,0,0,49515,norway,2867376,21.96
17537,0,0,2289939,poland,2938805,31.979
17537,0,0,491085,portugal,934334,50.501
17537,0,0,566768,romania,1054341,40.417
17537,0,0,67100,slovakia,505279,41.791
17537,0,0,1707010,spain,4448768,37.893
17544,0,0,328292.25,austria,4773001,35.764
17544,0,0,319658,belgium,6305089,40.272
17544,0,0,192350,bosnia_herzegovina,215854,NA
17544,0,0,424335,bulgaria,782360,33.874
17544,0,0,783285,czech_republic,1233946,33.364
17544,0,0,233057,denmark,616421,33.401
17544,0,0,184309,estonia,173702,21.409
17544,0,0,349540,finland,1674510,23.585
17544,0,0,638576,france,9631608,42.242
17544,0,0,3871104,germany,37187854,34.121
17544,0,0,224878.25,hungary,3107040,33.135
17544,0,0,1845186,italy,5085589,49.552
17544,0,0,9964,lithuania,224143,19.892
17544,0,0,7328.75,luxembourg,285834,36.92
17544,0,0,1203777.5,netherlands,8252039,40.226
17544,0,0,50361,norway,2827889,27.901
17544,0,0,2246055,poland,3058683,27.198
17544,0,0,589933,portugal,926416,52.612
17544,0,0,547917,romania,1130932,29.479
17544,0,0,68142,slovakia,534101,34.746
17544,0,0,1830259,spain,4562761,42.206
17551,0,0,303673.25,austria,4707398,35.649
17551,0,0,291999,belgium,6245942,43.519
17551,0,0,200321,bosnia_herzegovina,213965,NA
17551,0,0,427750,bulgaria,788546,26.857
17551,0,0,740650,czech_republic,1230943,35.438
17551,0,0,247319,denmark,602087,37.26
17551,0,0,166874,estonia,165458,29.733
17551,0,0,384560,finland,1739535,27.103
17551,0,0,619815,france,9009547,47.67
17551,0,0,4506330,germany,36058822,39.07
17551,0,0,235302.5,hungary,3073281,33.685
17551,0,0,1791596,italy,5057129,50.166
17551,0,0,9182,lithuania,224436,22.749
17551,0,0,7130,luxembourg,254922,39.834
17551,0,0,1183960,netherlands,8179066,42.664
17551,0,0,50476,norway,2818888,29.991
17551,0,0,2385540,poland,3042988,30.004
17551,0,0,516769,portugal,900919,52.299
17551,0,0,602354,romania,1130996,29.721
17551,0,0,67175,slovakia,533677,34.24
17551,0,0,1538848,spain,4337540,45.869
17558,0,0,309811.5,austria,4592858,42.263
17558,0,0,314081,belgium,6152531,41.887
17558,0,0,178198,bosnia_herzegovina,207117,NA
17558,0,0,398961,bulgaria,748119,37.143
17558,0,0,655580,czech_republic,1198306,39.116
17558,0,0,201938,denmark,596565,38.888
17558,0,0,135250,estonia,158158,31.662
17558,0,0,347868,finland,1625682,30.348
17558,0,0,727863,france,9324436,43.701
17558,0,0,3554800.75,germany,36406976,41.063
17558,0,0,215711.25,hungary,3020175,39.753
17558,0,0,1917064,italy,5060703,51.069
17558,0,0,9359,lithuania,215304,33.209
17558,0,0,7337.75,luxembourg,278543,38.019
17558,0,0,1176006,netherlands,8176909,42.527
17558,0,0,50810,norway,2763105,27.178
17558,0,0,2092352,poland,2955518,38.607
17558,0,0,531884,portugal,896425,53.966
17558,0,0,601909,romania,1107194,37.277
17558,0,0,71569,slovakia,519680,40.447
17558,0,0,1548718,spain,4446051,42.914
17565,0,0,315276.5,austria,4710351,32.98
17565,0,0,471115,belgium,6541317,32.351
17565,0,0,205992,bosnia_herzegovina,191998,NA
17565,0,0,385224,bulgaria,706767,42.157
17565,0,0,756378,czech_republic,1239365,29.474
17565,0,0,326582,denmark,640512,27.276
17565,0,0,174712,estonia,167110,21.337
17565,0,0,418364,finland,1773591,19.244
17565,0,0,1368827,france,10733408,31.164
17565,0,0,5905292.25,germany,36078252,28.529
17565,0,0,260300.75,hungary,3084326,33.639
17565,0,0,1800975,italy,5094680,48.047
