mth,country,category_group,mwh
2015-06-01,portugal,renewable_ex_nuclear,1266887
2015-06-01,romania,fossil,1404521
2015-06-01,romania,nuclear,803448
2015-06-01,romania,renewable_ex_nuclear,1721381
2015-06-01,slovakia,fossil,158646
2015-06-01,slovakia,nuclear,768559
2015-06-01,slovakia,other,183603
2015-06-01,slovakia,renewable_ex_nuclear,426353
2015-06-01,slovenia,fossil,276922
2015-06-01,slovenia,nuclear,427066
2015-06-01,slovenia,renewable_ex_nuclear,383944
2015-06-01,spain,fossil,7935659
2015-06-01,spain,nuclear,3260367
2015-06-01,spain,other,52775
2015-06-01,spain,renewable_ex_nuclear,6432486
2015-06-01,sweden,nuclear,2828346
2015-06-01,sweden,other,208950
2015-06-01,sweden,renewable_ex_nuclear,6384306
2015-06-01,switzerland,nuclear,739
2015-06-01,switzerland,renewable_ex_nuclear,28329
2015-07-01,austria,fossil,287816.5
2015-07-01,austria,other,701487.75
2015-07-01,austria,renewable_ex_nuclear,2558283.75
2015-07-01,belgium,fossil,1489383
2015-07-01,belgium,nuclear,1515272
2015-07-01,belgium,other,267908
2015-07-01,belgium,renewable_ex_nuclear,955138
2015-07-01,bulgaria,fossil,1618676
2015-07-01,bulgaria,nuclear,1240293
2015-07-01,bulgaria,renewable_ex_nuclear,709934
2015-07-01,czech_republic,fossil,2594554
2015-07-01,czech_republic,nuclear,1311644
2015-07-01,czech_republic,renewable_ex_nuclear,976448
2015-07-01,denmark,fossil,441817
2015-07-01,denmark,renewable_ex_nuclear,959745
2015-07-01,estonia,fossil,393437
2015-07-01,estonia,renewable_ex_nuclear,60961
2015-07-01,finland,fossil,349457
2015-07-01,finland,nuclear,1670215
2015-07-01,finland,other,110657
2015-07-01,finland,renewable_ex_nuclear,1756447
2015-07-01,france,fossil,1213177
2015-07-01,france,nuclear,27676240
2015-07-01,france,renewable_ex_nuclear,5847804
2015-07-01,germany,fossil,15721810
2015-07-01,germany,nuclear,4244171.25
2015-07-01,germany,other,3233597.25
2015-07-01,germany,renewable_ex_nuclear,14005740
2015-07-01,greece,fossil,2465018
2015-07-01,greece,renewable_ex_nuclear,1029267
2015-07-01,hungary,fossil,714771.25
2015-07-01,hungary,nuclear,902060.75
2015-07-01,hungary,other,49142
2015-07-01,hungary,renewable_ex_nuclear,87124
2015-07-01,ireland,fossil,1317694
2015-07-01,ireland,other,1507
2015-07-01,ireland,renewable_ex_nuclear,450312.5
2015-07-01,latvia,fossil,125978
2015-07-01,latvia,other,41138
