wk,country,category_group,mwh
2015-02-07,slovakia,renewable_ex_nuclear,73905
2015-02-07,slovenia,fossil,92182
2015-02-07,slovenia,nuclear,96811
2015-02-07,slovenia,renewable_ex_nuclear,50214
2015-02-07,spain,fossil,2002040
2015-02-07,spain,nuclear,989460
2015-02-07,spain,other,12328
2015-02-07,spain,renewable_ex_nuclear,1810578
2015-02-07,sweden,nuclear,1022488
2015-02-07,sweden,other,212461
2015-02-07,sweden,renewable_ex_nuclear,1642614
2015-02-07,switzerland,renewable_ex_nuclear,561
2015-02-14,austria,fossil,324981.75
2015-02-14,austria,other,37351.5
2015-02-14,austria,renewable_ex_nuclear,554683
2015-02-14,belgium,fossil,457993
2015-02-14,belgium,nuclear,512438
2015-02-14,belgium,other,99047
2015-02-14,belgium,renewable_ex_nuclear,176422
2015-02-14,bulgaria,fossil,466769
2015-02-14,bulgaria,nuclear,298058
2015-02-14,bulgaria,renewable_ex_nuclear,191817
2015-02-14,czech_republic,fossil,823028
2015-02-14,czech_republic,nuclear,563291
2015-02-14,czech_republic,other,14336
2015-02-14,czech_republic,renewable_ex_nuclear,194260
2015-02-14,denmark,fossil,335582
2015-02-14,denmark,renewable_ex_nuclear,370809
2015-02-14,estonia,fossil,177308
2015-02-14,estonia,renewable_ex_nuclear,27134
2015-02-14,finland,fossil,366414
2015-02-14,finland,nuclear,270605
2015-02-14,finland,other,35841
2015-02-14,finland,renewable_ex_nuclear,437748
2015-02-14,france,fossil,1083661
2015-02-14,france,nuclear,7938916
2015-02-14,france,renewable_ex_nuclear,1677764
2015-02-14,germany,fossil,4613762.25
2015-02-14,germany,nuclear,1611465.25
2015-02-14,germany,other,1146753.5
2015-02-14,germany,renewable_ex_nuclear,2474952.25
2015-02-14,greece,fossil,416696
2015-02-14,greece,renewable_ex_nuclear,333533
2015-02-14,hungary,fossil,192577.75
2015-02-14,hungary,nuclear,278046.25
2015-02-14,hungary,other,14615.5
2015-02-14,hungary,renewable_ex_nuclear,24986
2015-02-14,ireland,fossil,265341
2015-02-14,ireland,other,92.5
2015-02-14,ireland,renewable_ex_nuclear,156963
2015-02-14,italy,renewable_ex_nuclear,14082
2015-02-14,latvia,fossil,22880
2015-02-14,latvia,other,13241
2015-02-14,latvia,renewable_ex_nuclear,45854
2015-02-14,lithuania,fossil,30083
2015-02-14,lithuania,other,1488
2015-02-14,lithuania,renewable_ex_nuclear,62794
2015-02-14,luxembourg,fossil,7347
2015-02-14,luxembourg,renewable_ex_nuclear,4667.5
2015-02-14,montenegro,fossil,28769
2015-02-14,montenegro,renewable_ex_nuclear,12927
2015-02-14,netherlands,fossil,813453.5
2015-02-14,netherlands,nuclear,70560.5
2015-02-14,netherlands,other,760715.25
2015-02-14,netherlands,renewable_ex_nuclear,18905.5
2015-02-14,norway,fossil,48114
2015-02-14,norway,other,6220
2015-02-14,norway,renewable_ex_nuclear,2596267
2015-02-14,poland,fossil,2347021
2015-02-14,poland,renewable_ex_nuclear,318238
2015-02-14,portugal,fossil,299586
2015-02-14,portugal,other,7014
2015-02-14,portugal,renewable_ex_nuclear,697677
2015-02-14,romania,fossil,463843
2015-02-14,romania,nuclear,202806
2015-02-14,romania,renewable_ex_nuclear,517236
2015-02-14,slovakia,fossil,75477
2015-02-14,slovakia,nuclear,276034
2015-02-14,slovakia,other,64478
2015-02-14,slovakia,renewable_ex_nuclear,98134
2015-02-14,slovenia,fossil,69072
2015-02-14,slovenia,nuclear,100280
2015-02-14,slovenia,renewable_ex_nuclear,56895
2015-02-14,spain,fossil,1313238
2015-02-14,spain,nuclear,1023332
2015-02-14,spain,other,12478
2015-02-14,spain,renewable_ex_nuclear,2411584
2015-02-14,sweden,nuclear,1027692
2015-02-14,sweden,other,207437
2015-02-14,sweden,renewable_ex_nuclear,1729986
2015-02-14,switzerland,fossil,684
2015-02-14,switzerland,renewable_ex_nuclear,1294
2015-02-21,austria,fossil,293534.5
2015-02-21,austria,other,64771
2015-02-21,austria,renewable_ex_nuclear,576145
2015-02-21,belgium,fossil,407132
2015-02-21,belgium,nuclear,496443
2015-02-21,belgium,other,99005
2015-02-21,belgium,renewable_ex_nuclear,232890
2015-02-21,bulgaria,fossil,430896
2015-02-21,bulgaria,nuclear,298313
2015-02-21,bulgaria,renewable_ex_nuclear,147690
2015-02-21,czech_republic,fossil,770514
2015-02-21,czech_republic,nuclear,555764
2015-02-21,czech_republic,other,13783
2015-02-21,czech_republic,renewable_ex_nuclear,194760
2015-02-21,denmark,fossil,326842
2015-02-21,denmark,renewable_ex_nuclear,271629
2015-02-21,estonia,fossil,155701
2015-02-21,estonia,renewable_ex_nuclear,25006
2015-02-21,finland,fossil,312173
2015-02-21,finland,nuclear,325286
2015-02-21,finland,other,30547
2015-02-21,finland,renewable_ex_nuclear,419641
2015-02-21,france,fossil,1062068
2015-02-21,france,nuclear,7680628
2015-02-21,france,renewable_ex_nuclear,1892955
2015-02-21,germany,fossil,4236114.25
2015-02-21,germany,nuclear,1585968.25
2015-02-21,germany,other,1094428.75
2015-02-21,germany,renewable_ex_nuclear,2910730.5
2015-02-21,greece,fossil,401814
2015-02-21,greece,renewable_ex_nuclear,264896
2015-02-21,hungary,fossil,175295
2015-02-21,hungary,nuclear,278417.75
2015-02-21,hungary,other,14909
2015-02-21,hungary,renewable_ex_nuclear,39279.25
2015-02-21,ireland,fossil,232406.5
2015-02-21,ireland,other,45
2015-02-21,ireland,renewable_ex_nuclear,219215.5
2015-02-21,italy,renewable_ex_nuclear,7928
2015-02-21,latvia,fossil,11674
2015-02-21,latvia,other,13463
2015-02-21,latvia,renewable_ex_nuclear,42494
2015-02-21,lithuania,fossil,27495
2015-02-21,lithuania,other,1715
2015-02-21,lithuania,renewable_ex_nuclear,37901
2015-02-21,luxembourg,fossil,7130.25
2015-02-21,luxembourg,renewable_ex_nuclear,6154.5
2015-02-21,montenegro,fossil,27469
2015-02-21,montenegro,renewable_ex_nuclear,7295
2015-02-21,netherlands,fossil,798693
2015-02-21,netherlands,nuclear,70539.25
2015-02-21,netherlands,other,828750.5
2015-02-21,netherlands,renewable_ex_nuclear,27898
2015-02-21,norway,fossil,51956
2015-02-21,norway,other,5558
2015-02-21,norway,renewable_ex_nuclear,2526476
2015-02-21,poland,fossil,2383899
2015-02-21,poland,renewable_ex_nuclear,188332
2015-02-21,portugal,fossil,206377
2015-02-21,portugal,other,7022
2015-02-21,portugal,renewable_ex_nuclear,801518
2015-02-21,romania,fossil,447762
2015-02-21,romania,nuclear,202708
2015-02-21,romania,renewable_ex_nuclear,500623
2015-02-21,slovakia,fossil,66652
2015-02-21,slovakia,nuclear,275333
2015-02-21,slovakia,other,63082
2015-02-21,slovakia,renewable_ex_nuclear,97995
2015-02-21,slovenia,fossil,50836
2015-02-21,slovenia,nuclear,100237
2015-02-21,slovenia,renewable_ex_nuclear,66310
2015-02-21,spain,fossil,856187
2015-02-21,spain,nuclear,1023074
2015-02-21,spain,other,11595
2015-02-21,spain,renewable_ex_nuclear,2939352
2015-02-21,sweden,nuclear,1170656
2015-02-21,sweden,other,193966
2015-02-21,sweden,renewable_ex_nuclear,1601558
2015-02-21,switzerland,fossil,1813
2015-02-21,switzerland,renewable_ex_nuclear,1793
2015-02-28,austria,fossil,216296.5
2015-02-28,austria,other,54150.5
2015-02-28,austria,renewable_ex_nuclear,586387.5
2015-02-28,belgium,fossil,392110
2015-02-28,belgium,nuclear,493009
2015-02-28,belgium,other,95782
2015-02-28,belgium,renewable_ex_nuclear,291941
2015-02-28,bulgaria,fossil,343980
2015-02-28,bulgaria,nuclear,298360
2015-02-28,bulgaria,renewable_ex_nuclear,176103
2015-02-28,czech_republic,fossil,730448
2015-02-28,czech_republic,nuclear,497729
2015-02-28,czech_republic,other,12769
2015-02-28,czech_republic,renewable_ex_nuclear,198485
2015-02-28,denmark,fossil,96738
2015-02-28,denmark,renewable_ex_nuclear,127542
2015-02-28,estonia,fossil,138722
2015-02-28,estonia,renewable_ex_nuclear,19157
2015-02-28,finland,fossil,314303
2015-02-28,finland,nuclear,390146
2015-02-28,finland,other,30025
2015-02-28,finland,renewable_ex_nuclear,401698
2015-02-28,france,fossil,847390
2015-02-28,france,nuclear,7250945
2015-02-28,france,renewable_ex_nuclear,2046348
2015-02-28,germany,fossil,3982044
2015-02-28,germany,nuclear,1560349.25
2015-02-28,germany,other,939072.25
